1,Italy,ITA
2,Germany,DEU
3,Denmark,DNK
4,Netherlands,NLD
5,Poland,POL
6,Russian Federation,RUS
7,Belarus,BRB
8,Latvia,LVA
9,Lithuania,LTU
10,Ukraine,UKR
11,Switzerland,CHE
12,Albania,ALB
13,Austria,AUT
14,Bosnia and Herzegovina,BIH
15,Bulgaria,BGR
16,Croatia,HRV
17,Estonia,EST
18,Finland,FIN
19,France,FRA
20,Greece,GRC
21,Hungary,HUN
22,The former Yugoslav Republic of Macedonia,MKD
23,Romania,ROU
24,United Kingdom of Great Britain and Northern Ireland,GBR
25,Slovakia,SVK
26,Slovenia,SVN
27,Czech Republic,CZE
28,Turkey,TUR
29,Serbia,SRB
30,Montenegro,MNE
31,Israel,ISR
32,India,IND
33,Belgium,BEL
34,Bolivia (Plurinational State of),BOL
35,Nepal,NPL
36,Chile,CHL
37,Peru,PER
38,San Marino,SMR
39,Niger,NER
40,Monaco,MCO
41,Azerbaijan,AZE
42,Iran (Islamic Republic of),IRN
43,Guatemala,GTM
44,Myanmar,MMR
45,Thailand,THA
46,Mali,MLI
47,Bangladesh,BGD
48,Spain,ESP
49,Luxembourg,LUX
50,Georgia,GEO
51,Pakistan,PAK
52,Afghanistan,AFG
53,Mexico,MEX
54,China,CHN
55,Colombia,COL
56,Venezuela (Bolivarian Republic of),VEN
57,Iraq,IRQ
58,Jordan,JOR
59,Syrian Arab Republic,SYR
60,Armenia,ARM
61,Ecuador,ECU
62,Kyrgyzstan,KGZ
63,Mongolia,MNG
64,Nigeria,NGA
65,Libyan Arab Jamahiriya,LBY
66,Lebanon,LBN
67,Cambodia,KHM
68,Bhutan,BTN
69,Republic of Moldova,MDA
70,Panama,PAN
71,Portugal,PRT
72,Algeria,DZA
73,United States of America,USA
74,Argentina,ARG
75,Oman,OMN
76,Yemen,YEM
77,Nicaragua,NIC
78,Kenya,KEN
79,United Republic of Tanzania,TZA
80,Honduras,HND
81,Tajikistan,TJK
82,Sudan,SDN
83,Ethiopia,ETH
84,Lao People's Democratic Republic,LAO
85,Viet Nam,VNM
86,New Zealand,NZL
87,Guam (U.S.A.),GUM
88,Faroe Islands,FRO
89,Costa Rica,CRI
90,Greenland (Kingdom of Denmark),GRL
91,Ireland,IRL
92,Lesotho,LSO
93,Cook Islands,COK
94,Kazakhstan,KAZ
95,Senegal,SEN
96,Brazil,BRA
97,Indonesia,IDN
98,Norway,NOR
99,Sweden,SWE
100,Morocco,MAR
101,Guyana,GUY
102,Guinea-Bissau,GNB
103,Canada,CAN
104,Botswana,BWA
105,Uganda,UGA
106,Malaysia,MYS
107,Egypt,EGY
108,French Polynesia (France),PYF
109,Belize,BLZ
110,Niue,NIU
111,Guinea,GIN
112,Ghana,GHA
113,Tuvalu,TUV
114,Papua New Guinea,PNG
115,Uzbekistan,UZB
116,Chad,TCD
117,Tunisia,TUN
118,Turkmenistan,TKM
119,Japan,JPN
120,Paraguay,PRY
121,Burkina Faso,BFA
122,Central African Republic,CAF
123,Democratic Republic of the Congo,ZAI
124,Micronesia (Federated States of),FSM
125,Nauru,NRU
126,Namibia,NAM
127,Tokelau,TKL
128,Cameroon,CMR
129,Equatorial Guinea,GNQ
130,Congo,COG
131,Gabon,GAB
132,Suriname,SUR
133,Mauritania,MRT
134,Eritrea,ERI
135,Uruguay,URY
136,Australia,AUS
137,Fiji,FJI
138,Timor-Leste,TLS
139,Angola,ANG
140,Philippines,PHL
141,French Guiana (France),GUF
142,Benin,BEN
143,C̫te d'Ivoire,CIV
144,Cyprus,CYP
145,Solomon Islands,SLB
146,New Caledonia (France),NCL
147,Western Sahara,ESH
148,Vanuatu,VUT
149,Palau,PLW
150,Norfolk Island (Australia),NFK
151,Sierra Leone,SLE
152,Sri Lanka,LKA
153,El Salvador,SLV
154,South Africa,ZAF
155,Pitcairn  (U.K.),PCN
156,Togo,TGO
157,Dominica,DMA
158,Liechtenstein,LIE
159,Palestine,PSE
160,Republic of Korea,KOR
